Code,CodePays,CodeVille,Nom,Type,Latitude,Longitude,FuseauHoraire,DecalageUTC
EDB,SD,EDB,Eldebba,Airport,18.25,31.25,Africa/Khartoum,+02:00
EDD,AU,EDD,Erldunda,Airport,-25.25,133.2,Australia/Darwin,+09:30
EDE,US,EDE,Edenton,Airport,36.0667,-76.65,America/New_York,-05:00
EDF,US,ANC,Anchorage Elmendorf Afb,Airport,61.2525,-149.7981,America/Anchorage,-09:00
EDG,US,EDG,Edgewood,Airport,39.4167,-76.3,America/New_York,-05:00
EDI,GB,EDI,Edinburgh,Airport,55.95,-3.3725,Europe/London,+00:00
EDL,KE,EDL,Eldoret,Airport,0.4047,35.2389,Africa/Nairobi,+03:00
EDM,FR,EDM,La Roche Les Ajoncs,Airport,46.7025,-1.3817,Europe/Paris,+01:00
EDQ,HN,EDQ,Erandique,Airport,14.1333,-88.4167,America/Tegucigalpa,-06:00
EDR,AU,EDR,Edward River,Airport,-14.8969,141.6097,Australia/Brisbane,+10:00
EDW,US,EDW,Edwards Air Force Base,Airport,34.9058,-117.8836,America/Los_Angeles,-08:00
EED,US,EED,Needles,Airport,34.85,-114.6167,America/Los_Angeles,-08:00
EEK,US,EEK,Eek,Airport,60.215,-162.0119,America/Anchorage,-09:00
EEN,US,EEN,Keene,Airport,42.9,-72.2667,America/New_York,-05:00
EFB,US,EFB,Eight Fathom Bight,Airport,58.0,-135.7333,America/Anchorage,-09:00
EFD,US,HOU,Houston - Ellington Field,Airport,29.6056,-95.1553,America/Chicago,-06:00
EFG,PG,EFG,Efogi,Airport,-9.15,147.6667,Pacific/Port_Moresby,+10:00
EFK,US,EFK,Newport,Airport,44.8917,-72.2294,America/New_York,-05:00
EFL,GR,EFL,Cephalonie,Airport,38.12,20.5006,Europe/Athens,+02:00
EFO,US,EFO,East Forks,Airport,64.7,-164.2833,America/Anchorage,-09:00
EGA,PG,EGA,Engati,Airport,-6.9167,146.1,Pacific/Port_Moresby,+10:00
EGC,FR,EGC,Bergerac,Airport,44.8244,0.5206,Europe/Paris,+01:00
EGE,US,EGE,Vail/Eagle,Airport,39.6425,-106.9178,America/Denver,-07:00
EGI,US,VPS,Valparaiso - Duke Field,Airport,30.4833,-86.5,America/Chicago,-06:00
EGL,ET,EGL,Neghelli,Airport,5.2833,39.7,Africa/Addis_Ababa,+03:00
EGM,SB,EGM,Sege,Airport,-8.5786,157.8756,Pacific/Guadalcanal,+11:00
EGN,SD,EGN,Geneina,Airport,13.4836,22.4725,Africa/Khartoum,+02:00
EGO,RU,EGO,Belgorod,Airport,50.6439,36.59,Europe/Moscow,+03:00
EGP,US,EGP,Eagle Pass,Airport,28.8667,-100.5333,America/Chicago,-06:00
EGS,IS,EGS,Egilsstadir,Airport,65.2833,-14.4014,Atlantic/Reykjavik,+00:00
EGV,US,EGV,Eagle River,Airport,45.9333,-89.2667,America/Chicago,-06:00
EGX,US,EGX,Egegik,Airport,58.1856,-157.3756,America/Anchorage,-09:00
EHL,AR,EHL,El Bolson,Airport,-41.9667,-71.5167,America/Argentina/Buenos_Aires,-03:00
EHM,US,EHM,Cape Newenham,Airport,58.6464,-162.0628,America/Anchorage,-09:00
EHT,US,EHT,East Hartford,Airport,41.7667,-72.65,America/New_York,-05:00
